model,query,image_id,transform,level,label,cosine
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,blur,2.0,blur_2px,0.834651
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,blur,4.0,blur_4px,0.718513
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,saturation,0.2,saturation_0.2x,0.933593
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,saturation,0.4,saturation_0.4x,0.963749
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,saturation,0.7,saturation_0.7x,0.992045
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,saturation,1.3,saturation_1.3x,0.99586
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,saturation,1.7,saturation_1.7x,0.985002
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,saturation,2.5,saturation_2.5x,0.960253
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,hue,-0.3,hue_-0.3,0.876831
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,hue,-0.15,hue_-0.15,0.922817
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,hue,0.15,hue_0.15,0.95311
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,hue,0.3,hue_0.3,0.911574
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,rotation,5.0,rotation_5deg,0.930394
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,rotation,10.0,rotation_10deg,0.859944
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,rotation,20.0,rotation_20deg,0.817798
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,rotation,45.0,rotation_45deg,0.786261
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,rotation,90.0,rotation_90deg,0.825276
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,rotation,180.0,rotation_180deg,0.833273
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,crop,0.9,crop_0.9x,0.984803
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,crop,0.8,crop_0.8x,0.961449
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,crop,0.7,crop_0.7x,0.902481
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,crop,0.5,crop_0.5x,0.794308
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,crop,0.3,crop_0.3x,0.762974
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,brightness,0.2,brightness_0.2x,0.894808
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,brightness,0.4,brightness_0.4x,0.951616
